a -> 0.07294501905280348
b -> 0.016285610596987844
c -> 0.03189076392669207
d -> 0.03311558700780258
e -> 0.13545636000725822
f -> 0.027626565051714753
g -> 0.01193068408637271
h -> 0.05575213209943749
i -> 0.06391761930684087
j -> 0.002222827073126474
k -> 0.0014062783523861367
l -> 0.04091816367265469
m -> 0.018962075848303395
n -> 0.07022318998366903
o -> 0.07090364725095263
p -> 0.01823625476320087
q -> 0.0013155507167483215
r -> 0.056704772273634546
s -> 0.07103973870440937
t -> 0.10011794592632917
u -> 0.024541825440029034
v -> 0.01152240972600254
w -> 0.010025403737978588
x -> 0.0029486481582289966
y -> 0.0130647795318454
z -> 0.0007258210851025222
